Ticker;Name;Price;EarningsPerShare;FiftyTwoWeeksLow;FiftyTwoWeeksHigh;MarketCap;EBITDA
MMM;3M Company;222.89;7.92;259.77;175.49;1.38721E+11;9048000000
AOS;A.O. Smith Corp;60.24;1.7;68.39;48.925;10783419933;601000000
ABT;Abbott Laboratories;56.27;0.26;64.6;42.28;1.02121E+11;5744000000
ABBV;AbbVie Inc.;108.48;3.29;125.86;60.05;1.81386E+11;10310000000
ACN;Accenture plc;150.51;5.44;162.6;114.82;98765855553;5643228000
ATVI;Activision Blizzard;65.83;1.28;74.945;38.93;52518668144;2704000000
AYI;Acuity Brands Inc;145.41;7.43;225.36;142;6242377704;587800000
ADBE;Adobe Systems Inc;185.16;3.39;204.45;114.451;94550214268;2538040000
AAP;Advance Auto Parts;109.63;6.19;169.55;78.81;8123611867;853941000
AMD;Advanced Micro Devices Inc;11.22;0.03;15.65;9.7;11191663795;339000000
AES;AES Corp;10.06;-1.72;12.05;10;6920851212;3001000000
AET;Aetna Inc;178;5.75;194.4;119.51;59197016353;4139000000
AMG;Affiliated Managers Group Inc;179.11;12.07;216.995;148.81;10442174371;1261400000
AFL;AFLAC Inc;83.25;11.01;91.73;68.8;33422948000;0
A;Agilent Technologies Inc;65.05;2.1;75;49.23;21984606918;1094000000
APD;Air Products & Chemicals Inc;152.8;13.66;175.17;133.6301;34638387128;2542500000
AKAM;Akamai Technologies Inc;62.49;1.79;69.56;44.65;10906904066;789517000
ALK;Alaska Air Group Inc;64.04;8.28;101.43;59.25;7903173734;1665000000
ALB;Albemarle Corp;105.18;5.66;144.99;90.35;11782151266;686030000
ARE;Alexandria Real Estate Equities Inc;114.58;1.57;134.37;106.89;12043374429;0
ALXN;Alexion Pharmaceuticals;108.47;1.77;149.34;96.18;26172439795;1072000000
ALGN;Align Technology;220.71;2.84;287.32;92.61;18788041378;380326000
ALLE;Allegion;77.32;2.37;89.81;66.72;7599609494;531800000
AGN;Allergan, Plc;164.2;38.35;256.8;160.07;56668833898;-2888100000
ADS;Alliance Data Systems;240.6;14.13;278.33;209;13632608582;2143200000
LNT;Alliant Energy Corp;37.14;1.65;45.55;36.84;8670163500;1168400000
ALL;Allstate Corp;90.06;4.68;105.36;77.73;34759468905;0
GOOGL;Alphabet Inc Class A;1007.71;22.27;1198;824.3;7.33824E+11;34217000000
GOOG;Alphabet Inc Class C;1001.52;22.27;1186.89;803.1903;7.28536E+11;32714000000
MO;Altria Group Inc;64.05;5.31;77.79;60.01;1.26985E+11;10773000000
AMZN;Amazon.com Inc;1350.5;6.16;1498;812.5;6.85873E+11;16132000000
AEE;Ameren Corp;52.59;2.68;64.89;51.81;12905744906;2298000000
AAL;American Airlines Group;48.6;3.91;59.08;39.21;24594852352;5761000000
AEP;American Electric Power;63.38;1.24;78.07;62.69;31701916517;4450800000
AXP;American Express Co;88.34;2.9;102.385;75.51;80410990000;0
AIG;American International Group, Inc.;58.28;-0.76;67.3;57.85;54360073164;0
AMT;American Tower Corp A;133.57;1.97;155.28;103.36;59213892640;3792383000
AWK;American Water Works Company Inc;76.06;2.63;92.37;71.89;13906146184;1711000000
AMP;Ameriprise Financial;152.5;9.44;183.9;118.84;23472126000;0
ABC;AmerisourceBergen Corp;91.55;1.64;106.27;71.9;20587704101;991884000
AME;AMETEK Inc;72.05;2.94;78.51;51.31;17139651923;1025763000
AMGN;Amgen Inc;173.12;2.57;201.23;152.16;1.28133E+11;11945000000
APH;Amphenol Corp;84.44;2.05;93.62;67.26;26955335395;1671700000
APC;Anadarko Petroleum Corp;56.2;-5.9;70;39.96;32129091747;3115000000
ADI;Analog Devices, Inc.;82.68;2.11;98.38;74.65;31811578855;1663384000
ANDV;Andeavor;96.9;6.13;121.71;75.11;15696449735;2548000000
ANSS;ANSYS;148.84;2.99;164.9;94.52;13155919129;458515000
ANTM;Anthem Inc.;230.57;14.36;267.95;156.81;61221978627;0
AON;Aon plc;136.05;4.66;152.78;113.2201;35123123422;1858000000
APA;Apache Corporation;37.73;-3.72;57.9;38.14;15066280977;3265000000
AIV;Apartment Investment & Management;38.21;1.95;46.855;38.85;6156884142;874871000
AAPL;Apple Inc.;155.15;9.2;180.1;131.12;8.09508E+11;79386000000
AMAT;Applied Materials Inc;45.75;3.17;60.89;34.58;51296481503;4336000000
APTV;Aptiv Plc;89.27;5.05;96.91;82.97;24906530300;2370000000
ADM;Archer-Daniels-Midland Co;41.35;2.17;47.44;38.59;23594770663;2927000000
ARNC;Arconic Inc;24.45;-0.21;31.17;21.755;12123300000;1517000000
AJG;Arthur J. Gallagher & Co.;64.4;2.54;70.55;53.63;11968488290;888000000
AIZ;Assurant Inc;85.16;9.08;106.985;85.91;4653993594;0
T;AT&T Inc;35.57;4.76;42.7;32.55;2.26713E+11;49653000000
ADSK;Autodesk Inc;104.81;-2.61;131.1;81.75;24348294504;-378100000
ADP;Automatic Data Processing;108.25;3.85;125.24;95.5;50337702249;2767400000
AZO;AutoZone Inc;718.57;44.09;797.89;491.13;19922021415;2347304000
AVB;AvalonBay Communities, Inc.;154.94;6.36;199.52;156.01;21856547430;1331579000
AVY;Avery Dennison Corp;110.77;3.11;123.67;78.471;10104814319;831200000
BHGE;Baker Hughes, a GE Company;27.5;-0.31;57.73;28.03;32995712852;285000000
BLL;Ball Corp;38.44;0.85;43.24;35.6;13767688518;1317000000
BAC;Bank of America Corp;29.74;1.55;32.67;22.07;3.21478E+11;0
