Ticker;CompanyName;Sector;StockPrice
AAP;Advance Auto Parts;Consumer Discretionary;109.63
AMZN;Amazon.com Inc;Consumer Discretionary;1350.5
APTV;Aptiv Plc;Consumer Discretionary;89.27
AZO;AutoZone Inc;Consumer Discretionary;718.57
BBY;Best Buy Co. Inc.;Consumer Discretionary;68.79
BWA;BorgWarner;Consumer Discretionary;51.94
CBS;CBS Corp.;Consumer Discretionary;51.8
CCL;Carnival Corp.;Consumer Discretionary;66.76
CHTR;Charter Communications;Consumer Discretionary;348.65
CMCSA;Comcast Corp.;Consumer Discretionary;38.19
CMG;Chipotle Mexican Grill;Consumer Discretionary;266.01
DG;Dollar General;Consumer Discretionary;95.1
DHI;D. R. Horton;Consumer Discretionary;44.55
DIS;The Walt Disney Company;Consumer Discretionary;101.35
DISCA;Discovery Communications-A;Consumer Discretionary;22.87
DISCK;Discovery Communications-C;Consumer Discretionary;21.58
DISH;Dish Network;Consumer Discretionary;43.77
DLTR;Dollar Tree;Consumer Discretionary;101.58
DRI;Darden Restaurants;Consumer Discretionary;91.33
EXPE;Expedia Inc.;Consumer Discretionary;123.03
F;Ford Motor;Consumer Discretionary;10.43
FL;Foot Locker Inc;Consumer Discretionary;45.88
FOX;Twenty-First Century Fox Class B;Consumer Discretionary;34.09
FOXA;Twenty-First Century Fox Class A;Consumer Discretionary;34.56
GM;General Motors;Consumer Discretionary;40.75
GPC;Genuine Parts;Consumer Discretionary;96.31
GPS;Gap Inc.;Consumer Discretionary;31.17
GRMN;Garmin Ltd.;Consumer Discretionary;61.13
GT;Goodyear Tire & Rubber;Consumer Discretionary;30.75
HAS;Hasbro Inc.;Consumer Discretionary;96.48
HBI;Hanesbrands Inc;Consumer Discretionary;19.57
HD;Home Depot;Consumer Discretionary;181.22
HLT;Hilton Worldwide Holdings Inc;Consumer Discretionary;78.66
HOG;Harley-Davidson;Consumer Discretionary;47.54
IPG;Interpublic Group;Consumer Discretionary;21.34
JWN;Nordstrom;Consumer Discretionary;47.23
KMX;Carmax Inc;Consumer Discretionary;64.34
KORS;Michael Kors Holdings;Consumer Discretionary;60.03
KSS;Kohl's Corp.;Consumer Discretionary;60.34
LB;L Brands Inc.;Consumer Discretionary;47.77
LEG;Leggett & Platt;Consumer Discretionary;43.99
LEN;Lennar Corp.;Consumer Discretionary;59.11
LKQ;LKQ Corporation;Consumer Discretionary;38.86
LOW;Lowe's Cos.;Consumer Discretionary;95.01
M;Macy's Inc.;Consumer Discretionary;24
MAR;Marriott Int'l.;Consumer Discretionary;133.88
MAT;Mattel Inc.;Consumer Discretionary;16
MCD;McDonald's Corp.;Consumer Discretionary;158.97
MGM;MGM Resorts International;Consumer Discretionary;33.5
MHK;Mohawk Industries;Consumer Discretionary;256.57
NCLH;Norwegian Cruise Line;Consumer Discretionary;56.01
NKE;Nike;Consumer Discretionary;62.49
NWL;Newell Brands;Consumer Discretionary;27.91
NWS;News Corp. Class B;Consumer Discretionary;15.85
NWSA;News Corp. Class A;Consumer Discretionary;15.65
OMC;Omnicom Group;Consumer Discretionary;75.91
ORLY;O'Reilly Automotive;Consumer Discretionary;252.22
PCLN;Priceline.com Inc;Consumer Discretionary;1806.06
PHM;Pulte Homes Inc.;Consumer Discretionary;28.67
PVH;PVH Corp.;Consumer Discretionary;142.68
RCL;Royal Caribbean Cruises Ltd;Consumer Discretionary;122.45
RL;Polo Ralph Lauren Corp.;Consumer Discretionary;101.32
ROST;Ross Stores;Consumer Discretionary;75.06
